date,year,month,day,quarter
2020-01-01,2020,1,1,1
2020-01-02,2020,1,2,1
2020-01-03,2020,1,3,1
2020-01-04,2020,1,4,1
2020-01-05,2020,1,5,1
2020-01-06,2020,1,6,1
2020-01-07,2020,1,7,1
2020-01-08,2020,1,8,1
2020-01-09,2020,1,9,1
2020-01-10,2020,1,10,1
2020-01-11,2020,1,11,1
2020-01-12,2020,1,12,1
2020-01-13,2020,1,13,1
2020-01-14,2020,1,14,1
2020-01-15,2020,1,15,1
2020-01-16,2020,1,16,1
2020-01-17,2020,1,17,1
2020-01-18,2020,1,18,1
2020-01-19,2020,1,19,1
2020-01-20,2020,1,20,1
2020-01-21,2020,1,21,1
2020-01-22,2020,1,22,1
2020-01-23,2020,1,23,1
2020-01-24,2020,1,24,1
2020-01-25,2020,1,25,1
2020-01-26,2020,1,26,1
2020-01-27,2020,1,27,1
2020-01-28,2020,1,28,1
2020-01-29,2020,1,29,1
2020-01-30,2020,1,30,1
2020-01-31,2020,1,31,1
2020-02-01,2020,2,1,1
2020-02-02,2020,2,2,1
2020-02-03,2020,2,3,1
2020-02-04,2020,2,4,1
2020-02-05,2020,2,5,1
2020-02-06,2020,2,6,1
2020-02-07,2020,2,7,1
2020-02-08,2020,2,8,1
2020-02-09,2020,2,9,1
2020-02-10,2020,2,10,1
2020-02-11,2020,2,11,1
2020-02-12,2020,2,12,1
2020-02-13,2020,2,13,1
2020-02-14,2020,2,14,1
2020-02-15,2020,2,15,1
2020-02-16,2020,2,16,1
2020-02-17,2020,2,17,1
2020-02-18,2020,2,18,1
2020-02-19,2020,2,19,1
2020-02-20,2020,2,20,1
2020-02-21,2020,2,21,1
2020-02-22,2020,2,22,1
2020-02-23,2020,2,23,1
2020-02-24,2020,2,24,1
2020-02-25,2020,2,25,1
2020-02-26,2020,2,26,1
2020-02-27,2020,2,27,1
2020-02-28,2020,2,28,1
2020-02-29,2020,2,29,1
2020-03-01,2020,3,1,1
2020-03-02,2020,3,2,1
2020-03-03,2020,3,3,1
2020-03-04,2020,3,4,1
2020-03-05,2020,3,5,1
2020-03-06,2020,3,6,1
2020-03-07,2020,3,7,1
2020-03-08,2020,3,8,1
2020-03-09,2020,3,9,1
2020-03-10,2020,3,10,1
2020-03-11,2020,3,11,1
2020-03-12,2020,3,12,1
2020-03-13,2020,3,13,1
2020-03-14,2020,3,14,1
2020-03-15,2020,3,15,1
2020-03-16,2020,3,16,1
2020-03-17,2020,3,17,1
2020-03-18,2020,3,18,1
2020-03-19,2020,3,19,1
